Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
64715,Quillwort Solar,65318,Quillwort Solar,VA,Powhatan,POWI,Solar Photovoltaic,PV,,S,X,X,,,18, ,18,18,P,9,2023,9,2023,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
64714,Maplewood Solar,65319,Maplewood Solar,VA,Pittsylvania,MAPL,Solar Photovoltaic,PV,,S,X,X,,,120, ,120,120,V,1,2022,7,2022,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
64713,Sebera Solar,65320,Sebera Solar,VA,Prince George,SEBE,Solar Photovoltaic,PV,,S,X,X,,,20, ,20,20,P,9,2023,9,2023,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
64711,Fort Powhatan Solar,65322,Fort Powhatan Solar,VA,Prince George,FTPW,Solar Photovoltaic,PV,,S,X,X,,,150, ,150,150,V,1,2022,1,2022,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,65325,High Top Solar,WA,Yakima,98936,Solar Photovoltaic,PV,,S,X,X,,,80, ,80,80,L,4,2024,4,2024,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
15399,Avangrid Renewables LLC,65326,Sunset Solar,OR,Wasco,SS1,Solar Photovoltaic,PV,,S,X,X,,,103, ,103,103,P,12,2025,12,2025,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
5109,DTE Electric Company,65327,Wheeler Center Solar Park,MI,Washtenaw,WCTSP,Solar Photovoltaic,PV,,S,X,X,,,20, ,20,20,P,1,2024,1,2024,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
5109,DTE Electric Company,65328,Meridian Wind Park,MI,Gratiot,1,Onshore Wind Turbine,WT,,S,X,X,,,225, ,225,225,U,12,2021,9,2022,N,Electric Utility,1,N,WND,,,,,, ,,,,,,,,,,,,
64640,"8500 Balboa PV, LLC",65330,"8500 Balboa PV, LLC",CA,Los Angeles,BALB1,Solar Photovoltaic,PV,,S,X,X,,,2.4, ,2.4,2.4,U,1,2022,2,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64669,"CPV Maple Hill Solar, LLC",65332,CPV Maple Hill Solar,PA,Cambria,MH1,Solar Photovoltaic,PV,,S,X,X,,,100, ,100,100,U,4,2022,11,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,65333,Shakes Solar,TX,Dimmit,785,Solar Photovoltaic,PV,,S,X,X,,,200, ,200,200,U,11,2024,11,2024,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61012,AES Distributed Energy,65334,Platteview Solar LLC,NE,Saunders,PLTVW,Solar Photovoltaic,PV,,S,X,X,,,81, ,81,81,U,12,2023,12,2023,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64655,"Appaloosa Run Wind, LLC",65335,Appaloosa Run Wind,TX,Upton,WAPPA,Onshore Wind Turbine,WT,,S,X,X,,,171.8, ,171.8,171.8,U,12,2022,12,2022,N,IPP Non-CHP,2,N,WND,,,,,,62,,,,,,,,,,,,
56990,NJR Clean Energy Ventures Corporation,65337,"Maybrook Solar, LLC",NY,Orange,MAYBK,Solar Photovoltaic,PV,,W,X,X,,,5, ,5,5,T,1,2022,9,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
50123,"Leeward Asset Management, LLC",65338,Union Ridge Solar,OH,Montgomery,UNIS1,Solar Photovoltaic,PV,,S,X,X,,,108, ,108,108,L,12,2023,12,2023,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
62856,"Forefront Power, LLC",65339,MD - CS - Potomac Edison Co - GA25 TPE,MD,Garrett,19002,Solar Photovoltaic,PV,,S,X,X,,,2, ,2,2,U,12,2021,12,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
62856,"Forefront Power, LLC",65340,MD - CS - BGE - PR24 TPE,MD,Prince Georges,19003,Solar Photovoltaic,PV,,S,X,X,,,2, ,2,2,U,1,2022,6,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64672,"Gorham Solar 1, LLC",65342,"Gorham Solar 1, LLC",ME,Cumberland,GS1,Solar Photovoltaic,PV,,S,X,X,,,5, ,5,5,T,3,2023,3,2023,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
