name,facility_type,capacity,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,coordinate,plant_life,incommod,outcommod,,plant age
SAF_Hydroelectric_LLC_14,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_15,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_16,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_2,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_3,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_4,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_5,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_6,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_7,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_8,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_9,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
Foxwoods_CoGen_CT1,gas,6.6,6,2010,6,2040,"(41.4731,-71.9606)",30,,,,10
Foxwoods_CoGen_CT2,gas,6.6,6,2010,6,2040,"(41.4731,-71.9606)",30,,,,10
Foxwoods_CoGen_STG1,gas,3,7,2016,7,2046,"(41.4731,-71.9606)",30,,,,4
Seabrook_Solar_Plant_P21A,solar,1.5,12,2011,12,2036,"(39.485,-75.215)",25,,,,9
Seabrook_Solar_Plant_P21B,solar,1.5,4,2014,4,2039,"(39.485,-75.215)",25,,,,6
Seabrook_Solar_Plant_P2P2,solar,0.8,4,2014,4,2039,"(39.485,-75.215)",25,,,,6
Seabrook_Solar_Plant_SBS1,solar,3,3,2011,3,2036,"(39.485,-75.215)",25,,,,9
CASD_Solar_CASDE,solar,0.9,10,2010,10,2035,"(40.2142,-77.2061)",25,,,,10
