source,stream,material,amount (kg/MW),amount (kg/MWh),coordinate
nuclear,front_need,indium ,0.49000000000000,0.00000104000000,"(39.1364,-108.7347)"
nuclear,front_need,iron,34662.29000000000000,0.07327560000000,"(33.166246,-117.016566)"
nuclear,front_need,lead,46.65000000000000,0.00009860000000,"(37.4594,-105.8947)"
nuclear,front_need,magnesium,782.38000000000000,0.00165394000000,"(38.2081,-104.5747)"
nuclear,front_need,manganese,467.36000000000000,0.00098799300000,"(37.4594,-105.8947)"
nuclear,front_need,molybdenum,163.66000000000000,0.00034597500000,"(40.004725,-105.332495)"
nuclear,oper_need,gadolinium,2.87135280000000,0.00000607000000,"(28.4698,-80.7644)"
nuclear,front_need,nickel,484.34000000000000,0.00102388800000,"(39.807275,-104.964548)"
nuclear,front_need,silver,3.12000000000000,0.00000660000000,"(39.807275,-104.964548)"
nuclear,oper_waste,gadolinium,2.87135280000000,0.00000607000000,"(38.2268,-121.0245)"
nuclear,oper_waste,gadolinium_mining_w,284.26392720000000,0.00060093000000,"(31.400255,-86.476449)"
nuclear,front_waste,CO2,5676480.00000000000000,12.00000000000000,"(33.8361,-117.1831)"
nuclear,front_waste,aluminum_mining_w,42.16333333000000,0.00008910000000,"(34.004722,-118.09917)"
nuclear,front_waste,antimony_mining_w,2.92117647100000,0.00000618000000,"(33.92493,-117.95517)"
nuclear,front_waste,asbestos_mining_w,2626.56000000000000,0.00555251100000,"(33.3944,-117.1889)"
nuclear,front_waste,chromium_mining_w,931.19153150000000,0.00196852600000,"(33.9001,-117.82905)"
nuclear,front_waste,copper_mining_w,35559.79000000000000,0.07517290300000,"(37.6508,-120.4706)"
nuclear,front_waste,iron_mining_w,34965.99615000000000,0.07391763100000,"(38.824444,-104.833333)"
nuclear,front_waste,lead_mining_w,2646.76801400000000,0.00559523100000,"(38.824444,-104.833333)"
nuclear,front_waste,manganese_mining_w ,867.95428570000000,0.00183484300000,"(38.824444,-104.833333)"
nuclear,front_waste,molybdenum_mining_w,32568.34000000000000,0.06884901900000,"(38.824444,-104.833333)"
nuclear,front_waste,nickel_mining_w ,4897.21555600000000,0.01035264600000,"(38.824444,-104.833333)"
nuclear,front_waste,silver_mining_w,52878.23593000000000,0.11178385800000,"(38.824444,-104.833333)"
nuclear,front_waste,tin_mining_w,1.64000000000000,0.00000347000000,"(38.824444,-104.833333)"
nuclear,front_waste,titanium_mining_w,0.39000000000000,0.00000082400000,"(38.824444,-104.833333)"
nuclear,front_waste,zinc_mining_w,478.93238100000000,0.00101245600000,"(38.855556,-104.933056)"
nuclear,front_waste,magnesium_mining_w,2011.83428600000000,0.00425299000000,"(38.033327,-102.537915)"
nuclear,front_waste,concrete_mining_w,23405.25787000000000,0.04947839100000,"(38.033327,-102.537915)"
nuclear,front_waste,indium_mining_w,4899.51000000000000,0.01035749600000,"(40.4856,-107.185)"
nuclear,front_waste,cadmium_mining_w,10666.50667000000000,0.02254884700000,"(40.4856,-107.185)"
nuclear,oper_need,iron,30274.56000000000000,0.06400000000000,"(28.4698,-80.7644)"
nuclear,oper_waste,iron,30274.56000000000000,0.06400000000000,"(38.2268,-121.0245)"
,oper_waste,iron_mining_w,16300.00000000000000,0.03450000000000,"(38.2268,-121.0245)"
nuclear,oper_need,natural_uranium,15000.00000000000000,0.03170979200000,"(38.53419,-106.182003)"
nuclear,oper_waste,natural_uranium,14250.00000000000000,0.03012430200000,"(31.400255,-86.476449)"
nuclear,oper_waste,uranium_mining_w,7127857.14300000000000,15.06819115000000,"(39.048802,-121.316966)"
nuclear,oper_need,zirconium,804.16800000000000,0.00170000000000,"(40.0195,-105.202)"
nuclear,oper_waste,zirconium,804.16800000000000,0.00170000000000,"(38.850283,-120.381883)"
nuclear,back_waste,aluminum,18.07000000000000,0.00003820000000,"(38.2268,-121.0245)"
nuclear,back_waste,antimony,0.02000000000000,0.00000004230000,"(48.620336,-118.111059)"
nuclear,back_waste,asbestos,138.24000000000000,0.00029223700000,"(28.4822,-81.1678)"
nuclear,back_waste,chromium,414.85000000000000,0.00087698700000,"(28.4822,-81.1678)"
nuclear,back_waste,copper,725.71000000000000,0.00153414100000,"(28.4822,-81.1678)"
nuclear,back_waste,iron,34662.29000000000000,0.07327560000000,"(28.4822,-81.1678)"
nuclear,back_waste,lead,46.65000000000000,0.00009860000000,"(41.3107,-72.1677)"
nuclear,back_waste,manganese,467.36000000000000,0.00098799300000,"(41.3107,-72.1677)"
nuclear,back_waste,molybdenum,163.66000000000000,0.00034597500000,"(41.1706,-73.1844)"
nuclear,back_waste,nickel,484.34000000000000,0.00102388800000,"(41.1706,-73.1844)"
nuclear,back_waste,silver,3.12000000000000,0.00000660000000,"(41.828814,-74.131877)"
nuclear,back_waste,tin,1.64000000000000,0.00000347000000,"(36.8061,-107.6131)"
nuclear,back_waste,titanium,0.01000000000000,0.00000002110000,"(36.8061,-107.6131)"
nuclear,back_waste,zinc,2.02000000000000,0.00000427000000,"(32.711611,-114.942666)"
nuclear,back_waste,magnesium,782.38000000000000,0.00165394000000,"(32.711611,-114.942666)"
nuclear,back_waste,concrete,166348.67000000000000,0.35165878200000,"(32.711611,-114.942666)"
nuclear,back_waste,indium ,0.49000000000000,0.00000104000000,"(32.699451,-115.28245)"
nuclear,back_waste,cadmium,0.16000000000000,0.00000033800000,"(38.5857,-75.2341)"
nuclear,front_need,tin,1.64000000000000,0.00000347000000,"(39.807275,-104.964548)"
nuclear,front_need,titanium,0.01000000000000,0.00000002110000,"(39.807275,-104.964548)"
nuclear,front_need,zinc,2.02000000000000,0.00000427000000,"(38.2081,-104.5747)"
nuclear,oper_waste,zirconium_mining_w,80416.80000000000000,0.17000000000000,"(31.400255,-86.476449)"
