,,,Emissions
2046,oper_need,coal,8.995288247274122e+16
2046,oper_need,gas,1.4813855771120016e+17
2046,oper_need,hydro,0.0
2046,oper_need,nuclear,0.0
2046,oper_need,solar,0.0
2046,oper_need,wind,0.0
2047,front_need,coal,211150042093892.7
2047,front_need,gas,593887391989106.9
2047,front_need,hydro,2.462558518038831e+17
2047,front_need,nuclear,0.0
2047,front_need,solar,0.0
2047,front_need,wind,8799984124925023.0
2047,oper_need,coal,9.372545386493158e+16
2047,oper_need,gas,1.634426005868204e+17
2047,oper_need,hydro,0.0
2047,oper_need,nuclear,0.0
2047,oper_need,solar,0.0
2047,oper_need,wind,0.0
2048,front_need,coal,219638737127208.5
2048,front_need,gas,652395122131089.6
2048,front_need,hydro,2.5532511566612848e+17
2048,front_need,nuclear,0.0
2048,front_need,solar,0.0
2048,front_need,wind,9301178798640514.0
2048,oper_need,coal,9.749327106835675e+16
2048,oper_need,gas,1.7956907437245056e+17
2048,oper_need,hydro,0.0
2048,oper_need,nuclear,0.0
2048,oper_need,solar,0.0
2048,oper_need,wind,0.0
2049,front_need,coal,228119869270988.62
2049,front_need,gas,716113720126089.5
2049,front_need,hydro,2.6438952263443274e+17
2049,front_need,nuclear,0.0
2049,front_need,solar,0.0
2049,front_need,wind,9790036405776302.0
2049,oper_need,coal,1.0125757234020226e+17
2049,oper_need,gas,1.9713505916647536e+17
2049,oper_need,hydro,0.0
2049,oper_need,nuclear,0.0
2049,oper_need,solar,0.0
2049,oper_need,wind,0.0
2050,front_need,coal,236611406740881.06
2050,front_need,gas,783296690392981.8
2050,front_need,hydro,2.7346290538748803e+17
2050,front_need,nuclear,0.0
2050,front_need,solar,0.0
2050,front_need,wind,1.0258386170437252e+16
2050,oper_need,coal,1.0502708193831202e+17
2050,oper_need,gas,2.156594360606057e+17
2050,oper_need,hydro,0.0
2050,oper_need,nuclear,0.0
2050,oper_need,solar,0.0
2050,oper_need,wind,0.0
