,,,Emissions
2043,oper_need,nuclear,100785241.33431052
2043,oper_need,solar,479856584.62221736
2043,oper_need,wind,66511629.643714674
2044,front_need,coal,1541285824.5449042
2044,front_need,gas,480638017.0695451
2044,front_need,hydro,1790669261.8860614
2044,front_need,nuclear,99951.69517045672
2044,front_need,solar,64541688.16216515
2044,front_need,wind,0.0
2044,oper_need,coal,499677481558.7207
2044,oper_need,gas,1299141893.0024369
2044,oper_need,hydro,0.0
2044,oper_need,nuclear,100785241.33431052
2044,oper_need,solar,479856584.62221736
2044,oper_need,wind,0.0
2045,front_need,coal,2875473086.1634026
2045,front_need,gas,480638017.0695451
2045,front_need,hydro,1790669261.8860614
2045,front_need,nuclear,99951.69517045672
2045,front_need,solar,64541688.16216515
2045,front_need,wind,0.0
2045,oper_need,coal,929927628140.0385
2045,oper_need,gas,1299141893.0024369
2045,oper_need,hydro,0.0
2045,oper_need,nuclear,100785241.33431052
2045,oper_need,solar,479856584.62221736
2045,oper_need,wind,0.0
2046,front_need,coal,2875473086.1634026
2046,front_need,gas,480638017.0695451
2046,front_need,hydro,1790669261.8860614
2046,front_need,nuclear,99951.69517045672
2046,front_need,solar,62313458.0830429
2046,front_need,wind,0.0
2046,oper_need,coal,929927628140.0385
2046,oper_need,gas,1299141893.0024369
2046,oper_need,hydro,0.0
2046,oper_need,nuclear,100785241.33431052
2046,oper_need,solar,467507675.55462235
2046,oper_need,wind,0.0
2047,front_need,coal,2875473086.1634026
2047,front_need,gas,480638017.0695451
2047,front_need,hydro,1790669261.8860614
2047,front_need,nuclear,95883.41260847707
2047,front_need,solar,62313458.0830429
2047,front_need,wind,0.0
2047,oper_need,coal,929927628140.0385
2047,oper_need,gas,1299141893.0024369
2047,oper_need,hydro,0.0
2047,oper_need,nuclear,99789946.22741197
2047,oper_need,solar,467507675.55462235
2047,oper_need,wind,0.0
2048,front_need,coal,2875473086.1634026
2048,front_need,gas,480638017.0695451
2048,front_need,hydro,1790669261.8860614
2048,front_need,nuclear,95883.41260847707
2048,front_need,solar,62313458.0830429
2048,front_need,wind,0.0
2048,oper_need,coal,929927628140.0385
2048,oper_need,gas,1299141893.0024369
2048,oper_need,hydro,0.0
2048,oper_need,nuclear,99789946.22741197
2048,oper_need,solar,467507675.55462235
2048,oper_need,wind,0.0
