,,,Emissions
2039,oper_need,wind,8503774518442.15
2040,front_need,coal,699971572311346.5
2040,front_need,gas,439084121332787.7
2040,front_need,hydro,1.8940598368845668e+16
2040,front_need,nuclear,17234837786080.842
2040,front_need,solar,527105280023760.5
2040,front_need,wind,8945117823485429.0
2040,oper_need,coal,3.8128823856676666e+17
2040,oper_need,gas,9.072748609817414e+16
2040,oper_need,hydro,0.0
2040,oper_need,nuclear,3787847687545.0625
2040,oper_need,solar,382887919654.9488
2040,oper_need,wind,9392859268400.45
2041,front_need,coal,737095113933431.4
2041,front_need,gas,499322593074853.5
2041,front_need,hydro,1.9875926341443976e+16
2041,front_need,nuclear,23492021125718.934
2041,front_need,solar,593922943745529.5
2041,front_need,wind,9823458493455402.0
2041,oper_need,coal,4.0148290256801926e+17
2041,oper_need,gas,1.0754715283031051e+17
2041,oper_need,hydro,0.0
2041,oper_need,nuclear,5163630177284.737
2041,oper_need,solar,431412761135.94446
2041,oper_need,wind,10314496028435.887
2042,front_need,coal,775373684700870.2
2042,front_need,gas,563292786743649.1
2042,front_need,hydro,2.081339270812491e+16
2042,front_need,nuclear,31775718413937.234
2042,front_need,solar,666649856278272.2
2042,front_need,wind,1.0822392683704822e+16
2042,oper_need,coal,4.223390106641863e+17
2042,oper_need,gas,1.2541254569336195e+17
2042,oper_need,hydro,0.0
2042,oper_need,nuclear,6986089932559.705
2042,oper_need,solar,484232248285.8466
2042,oper_need,wind,11362604596771.133
2043,front_need,coal,814759395874214.6
2043,front_need,gas,631816892171982.0
2043,front_need,hydro,2.1751309163132424e+16
2043,front_need,nuclear,40466357308771.86
2043,front_need,solar,744468655936099.0
2043,front_need,wind,1.1894209603733344e+16
2043,oper_need,coal,4.438254802945646e+17
2043,oper_need,gas,1.4454354665884826e+17
2043,oper_need,hydro,0.0
2043,oper_need,nuclear,8893668151226.05
2043,oper_need,solar,540748530063.223
2043,oper_need,wind,12487180061980.695
2044,front_need,coal,854324416635037.5
2044,front_need,gas,703842586005425.0
2044,front_need,hydro,2.269017964906256e+16
2044,front_need,nuclear,50035250954981.125
2044,front_need,solar,827768676849868.2
2044,front_need,wind,1.2888731755562932e+16
2044,oper_need,coal,4.654237819965675e+17
2044,oper_need,gas,1.6466059540006134e+17
2044,oper_need,hydro,0.0
2044,oper_need,nuclear,10990663750302.69
2044,oper_need,solar,601243074420.6959
2044,oper_need,wind,13530378113478.59
2045,front_need,coal,893444912177101.4
2045,front_need,gas,779779541452187.8
2045,front_need,hydro,2.3630965958347036e+16
2045,front_need,nuclear,62844291543554.96
2045,front_need,solar,918520134254502.5
2045,front_need,wind,1.3737928176534356e+16
2045,oper_need,coal,4.867474466244338e+17
2045,oper_need,gas,1.8588469143135626e+17
2045,oper_need,hydro,0.0
2045,oper_need,nuclear,13804265381290.871
2045,oper_need,solar,667149882302.846
2045,oper_need,wind,14420791415490.053
2046,front_need,coal,932650720163517.0
2046,front_need,gas,858619646752629.6
2046,front_need,hydro,2.457189486443888e+16
2046,front_need,nuclear,79094386271880.17
2046,front_need,solar,1018801912546685.0
2046,front_need,wind,1.4628795914593014e+16
2046,oper_need,coal,5.081123527761487e+17
2046,oper_need,gas,2.0792631504046595e+17
2046,oper_need,hydro,0.0
2046,oper_need,nuclear,17380449179191.2
2046,oper_need,solar,739981353765.182
2046,oper_need,wind,15355226784237.035
2047,front_need,coal,971715051580649.1
2047,front_need,gas,941417028911974.8
2047,front_need,hydro,2.5513040619433508e+16
2047,front_need,nuclear,98809693424008.11
2047,front_need,solar,1131294534554429.8
2047,front_need,wind,1.5532121375953202e+16
2047,oper_need,coal,5.293968217070002e+17
2047,oper_need,gas,2.310769825239817e+17
2047,oper_need,hydro,0.0
2047,oper_need,nuclear,21716349728802.44
2047,oper_need,solar,821687936837.2828
2047,oper_need,wind,16302824850170.318
2048,front_need,coal,1010726490232826.0
2048,front_need,gas,1028553211041457.9
2048,front_need,hydro,2.6454865613851944e+16
2048,front_need,nuclear,121603299036147.61
2048,front_need,solar,1256762236809602.2
2048,front_need,wind,1.6416573715570318e+16
2048,oper_need,coal,5.5065604611839546e+17
2048,oper_need,gas,2.5552922145775853e+17
2048,oper_need,hydro,0.0
2048,oper_need,nuclear,26726889616125.21
2048,oper_need,solar,912823642102.9751
2048,oper_need,wind,17230575712552.496
2049,front_need,coal,1049696919766535.1
2049,front_need,gas,1124091991620735.8
