source,Operating Year,capacity,location
hydro,2038,61.4,"['45.61079449676027, -103.68233759077229']"
nuclear,2038,6169.39998,"['45.61079449676027, -103.68233759077229']"
solar,2038,10015.30207,"['45.61079449676027, -103.68233759077229']"
wind,2038,6849.49977,"['45.61079449676027, -103.68233759077229']"
gas,2039,11215.59947,"['45.61079449676027, -103.68233759077229']"
hydro,2039,2.9,"['45.61079449676027, -103.68233759077229']"
nuclear,2039,2112.99999,"['45.61079449676027, -103.68233759077229']"
solar,2039,7455.90154,"['45.61079449676027, -103.68233759077229']"
wind,2039,6998.19976,"['45.61079449676027, -103.68233759077229']"
gas,2040,15512.39926,"['45.61079449676027, -103.68233759077229']"
hydro,2040,188.29999,"['45.61079449676027, -103.68233759077229']"
solar,2040,8709.6018,"['45.61079449676027, -103.68233759077229']"
wind,2040,9828.19967,"['45.61079449676027, -103.68233759077229']"
gas,2041,10574.5995,"['45.61079449676027, -103.68233759077229']"
hydro,2041,3.7,"['45.61079449676027, -103.68233759077229']"
nuclear,2041,1846.2,"['45.61079449676027, -103.68233759077229']"
solar,2041,13661.40283,"['45.61079449676027, -103.68233759077229']"
wind,2041,24513.89916,"['45.61079449676027, -103.68233759077229']"
gas,2042,13049.29938,"['45.61079449676027, -103.68233759077229']"
hydro,2042,140.19999,"['45.61079449676027, -103.68233759077229']"
nuclear,2042,4598.99998,"['45.61079449676027, -103.68233759077229']"
solar,2042,13947.90289,"['45.61079449676027, -103.68233759077229']"
wind,2042,14800.49949,"['45.61079449676027, -103.68233759077229']"
gas,2043,16303.49923,"['45.61079449676027, -103.68233759077229']"
hydro,2043,17.8,"['45.61079449676027, -103.68233759077229']"
nuclear,2043,1320.5,"['45.61079449676027, -103.68233759077229']"
solar,2043,12025.60249,"['45.61079449676027, -103.68233759077229']"
wind,2043,11093.39962,"['45.61079449676027, -103.68233759077229']"
gas,2044,12248.09942,"['45.61079449676027, -103.68233759077229']"
hydro,2044,82.5,"['45.61079449676027, -103.68233759077229']"
nuclear,2044,2445.99999,"['45.61079449676027, -103.68233759077229']"
solar,2044,13020.2027,"['45.61079449676027, -103.68233759077229']"
wind,2044,15135.29948,"['45.61079449676027, -103.68233759077229']"
gas,2045,13500.99936,"['45.61079449676027, -103.68233759077229']"
hydro,2045,79.2,"['45.61079449676027, -103.68233759077229']"
nuclear,2045,7125.69997,"['45.61079449676027, -103.68233759077229']"
solar,2045,17586.30364,"['45.61079449676027, -103.68233759077229']"
wind,2045,36437.89875,"['45.61079449676027, -103.68233759077229']"
gas,2046,10110.49952,"['45.61079449676027, -103.68233759077229']"
hydro,2046,30.4,"['45.61079449676027, -103.68233759077229']"
nuclear,2046,7703.49997,"['45.61079449676027, -103.68233759077229']"
solar,2046,25659.60531,"['45.61079449676027, -103.68233759077229']"
wind,2046,4441.99985,"['45.61079449676027, -103.68233759077229']"
gas,2047,13951.49934,"['45.61079449676027, -103.68233759077229']"
hydro,2047,21.4,"['45.61079449676027, -103.68233759077229']"
nuclear,2047,7829.59997,"['45.61079449676027, -103.68233759077229']"
solar,2047,27476.20569,"['45.61079449676027, -103.68233759077229']"
wind,2047,3321.39989,"['45.61079449676027, -103.68233759077229']"
gas,2048,16073.09924,"['45.61079449676027, -103.68233759077229']"
hydro,2048,21.6,"['45.61079449676027, -103.68233759077229']"
nuclear,2048,8023.39997,"['45.61079449676027, -103.68233759077229']"
solar,2048,30407.7063,"['45.61079449676027, -103.68233759077229']"
wind,2048,2383.69992,"['45.61079449676027, -103.68233759077229']"
gas,2049,27973.89867,"['45.61079449676027, -103.68233759077229']"
hydro,2049,42.7,"['45.61079449676027, -103.68233759077229']"
nuclear,2049,6424.29998,"['45.61079449676027, -103.68233759077229']"
solar,2049,31562.90653,"['45.61079449676027, -103.68233759077229']"
wind,2049,8125.39972,"['45.61079449676027, -103.68233759077229']"
gas,2050,14853.3993,"['45.61079449676027, -103.68233759077229']"
hydro,2050,26.1,"['45.61079449676027, -103.68233759077229']"
nuclear,2050,2669.29999,"['45.61079449676027, -103.68233759077229']"
solar,2050,19576.00405,"['45.61079449676027, -103.68233759077229']"
wind,2050,11667.2996,"['45.61079449676027, -103.68233759077229']"
